node1,node2,weight,label,PA,LP_w,PA_w,L3_w,L3,LP,SP,SP_w
354589,3021101,5.0,1,30,0.0,700.0,0.0,0.0,0,1.0,0.2
169614,2442512,0.0,0,93,0.0,1845.0,0.0,0.0,0,5.0,1.0
8506,2363196,5.0,1,3885,1641.0,60588.0,15.280459444742286,1.1884889243385535,26,1.0,0.2
864779,2748201,0.0,0,33,0.0,600.0,0.0,0.0,0,7.0,1.45
157325,2227077,0.0,0,27,0.0,660.0,0.0,0.0,0,7.0,1.4
465838,2175472,0.0,0,36,0.0,528.0,0.0,0.0,0,5.0,1.1
1697556,2541938,0.0,0,63,0.0,1022.0,0.0,0.0,0,5.0,1.0999999999999999
58470,2220466,0.0,0,72,0.0,1148.0,0.0,0.0,0,5.0,1.0
71741,2818049,5.0,1,1338,0.0,25440.0,0.0,0.0,0,1.0,0.2
521,2162827,5.0,1,275,1125.0,5424.0,9.036364604731233,0.36514193483126384,10,1.0,0.2
3262,2245094,5.0,1,17120,26227.0,366858.0,57.53740164321443,2.781252180889182,255,1.0,0.2
1312135,2218151,0.0,0,90,0.0,1395.0,0.0,0.0,0,5.0,1.05
36774,3166037,0.0,0,60,0.0,1350.0,0.0,0.0,0,inf,inf
263953,2711189,0.0,0,9,0.0,78.0,0.0,0.0,0,5.0,1.1333333333333333
29199,2633058,5.0,1,4848,100.0,107388.0,0.383855240783933,0.016961338288818958,1,1.0,0.2
2557,2227812,5.0,1,180,50.0,4224.0,0.05048213503463401,0.0038672640246216767,1,1.0,0.2
2115904,2221678,0.0,0,16,0.0,270.0,0.0,0.0,0,5.0,1.0
45467,2725274,5.0,1,344,225.0,7880.0,7.40498098331627,0.2778498944161523,2,1.0,0.2
2011052,2432533,0.0,0,15,0.0,266.0,0.0,0.0,0,5.0,1.1
291537,3308576,0.0,0,15,0.0,176.0,0.0,0.0,0,7.0,2.466666666666667
1049,2181485,5.0,1,4968,5835.0,78225.0,8.595545273297102,0.4467699204166216,70,1.0,0.2
11412,2417882,5.0,1,1817,1329.0,31416.0,9.112524406934096,0.5803864689927611,24,1.0,0.2
23679,2594428,4.0,1,3710,0.0,63713.0,0.0,0.0,0,1.0,0.25
1904,2207425,5.0,1,360,274.0,6612.0,4.641426694581112,0.2642133441954619,4,1.0,0.2
85670,2855416,4.0,1,9,0.0,154.0,0.0,0.0,0,1.0,0.25
77396,2833181,2.0,1,9,0.0,90.0,0.0,0.0,0,1.0,0.5
18340,2522908,2.0,1,64,0.0,992.0,0.0,0.0,0,1.0,0.5
13264,2449965,5.0,1,144,0.0,2970.0,0.0,0.0,0,1.0,0.2
774875,2152639,0.0,0,432,0.0,7618.0,0.0,0.0,0,5.0,1.0
422329,2737416,0.0,0,16,0.0,240.0,0.0,0.0,0,5.0,1.1
847665,2638547,0.0,0,27,0.0,645.0,0.0,0.0,0,5.0,1.0
108221,2581173,0.0,0,21,0.0,420.0,0.0,0.0,0,5.0,1.4166666666666665
1733029,2206531,0.0,0,84,0.0,1616.0,0.0,0.0,0,5.0,1.0
47447,2722764,0.0,0,21,0.0,480.0,0.0,0.0,0,7.0,1.4
1515566,2628633,0.0,0,15,0.0,125.0,0.0,0.0,0,5.0,1.5833333333333333
20975,2561753,5.0,1,575,60.0,12742.0,1.5811388300841895,0.1111111111111111,1,1.0,0.2
8861,2369911,4.0,1,1520,0.0,26960.0,0.0,0.0,0,1.0,0.25
77956,2477468,0.0,0,12,0.0,168.0,0.0,0.0,0,7.0,1.8833333333333333
1085934,2606329,0.0,0,15,0.0,330.0,0.0,0.0,0,5.0,1.2999999999999998
55168,2327011,0.0,0,40,0.0,800.0,0.0,0.0,0,7.0,1.4
843099,2194464,0.0,0,42,0.0,885.0,0.0,0.0,0,5.0,1.05
941,2178245,5.0,1,868,220.0,15249.0,2.532649196916518,0.1759617095319905,3,1.0,0.2
52351,3225957,0.0,0,12,0.0,200.0,0.0,0.0,0,inf,inf
6329,2317637,5.0,1,406,100.0,7772.0,1.0065640694646234,0.04602873089491617,1,1.0,0.2
576706,2470067,0.0,0,35,0.0,875.0,0.0,0.0,0,inf,inf
16705,2499346,5.0,1,294,0.0,6450.0,0.0,0.0,0,1.0,0.2
910103,2788340,0.0,0,28,0.0,442.0,0.0,0.0,0,5.0,1.05
1391,2192633,5.0,1,9269,2092.0,168859.0,16.443474961707395,0.7410565462446228,22,1.0,0.2
5518,2301482,5.0,1,2130,1890.0,34440.0,1.27939654230809,0.0662968377078931,26,1.0,0.2
183516,2276629,0.0,0,42,0.0,550.0,0.0,0.0,0,5.0,1.1
1743306,2761169,0.0,0,16,0.0,80.0,0.0,0.0,0,5.0,1.7999999999999998
159419,2701024,0.0,0,9,0.0,126.0,0.0,0.0,0,7.0,1.45
4850,2287937,5.0,1,882,155.0,18198.0,2.2455251975243584,0.11610021804866447,2,1.0,0.2
28722,2929730,0.0,0,27,0.0,430.0,0.0,0.0,0,inf,inf
25370,2609049,5.0,1,525,225.0,12300.0,2.256071842459186,0.08964126314279454,2,1.0,0.2
66225,2312448,0.0,0,24,0.0,420.0,0.0,0.0,0,inf,inf
458580,2282878,0.0,0,44,0.0,714.0,0.0,0.0,0,5.0,1.05
206,2152829,5.0,1,840,0.0,16830.0,0.0,0.0,0,1.0,0.2
520,2162688,5.0,1,5600,3530.0,109647.0,7.599809670358617,0.34624391947850885,39,1.0,0.2
55474,2763949,4.0,1,114,0.0,1596.0,0.0,0.0,0,1.0,0.25
20710,2281681,0.0,0,180,0.0,3886.0,0.0,0.0,0,5.0,1.0
3645,2257992,4.0,1,558,0.0,9698.0,0.0,0.0,0,1.0,0.25
19368,2382195,0.0,0,80,0.0,882.0,0.0,0.0,0,5.0,1.05
46850,2732470,4.0,1,33,0.0,560.0,0.0,0.0,0,1.0,0.25
20337,2548002,5.0,1,1056,0.0,24360.0,0.0,0.0,0,1.0,0.2
215485,2718548,0.0,0,9,0.0,130.0,0.0,0.0,0,5.0,1.1
558058,2872029,0.0,0,15,0.0,144.0,0.0,0.0,0,7.0,1.6833333333333331
84645,2646883,0.0,0,25,0.0,550.0,0.0,0.0,0,5.0,1.3499999999999999
171615,2955644,0.0,0,15,0.0,325.0,0.0,0.0,0,7.0,1.4
3171,2242940,5.0,1,700,1286.0,13806.0,13.967731994929945,0.6078136576711872,14,1.0,0.2
26364,2292794,0.0,0,36,0.0,420.0,0.0,0.0,0,5.0,1.05
67955,2677467,0.0,0,30,0.0,494.0,0.0,0.0,0,5.0,1.2333333333333334
35469,2670625,5.0,1,4025,100.0,98300.0,6.201736729460423,0.25,1,1.0,0.2
1667067,2750727,0.0,0,12,0.0,240.0,0.0,0.0,0,7.0,1.4
1041,2181298,5.0,1,2520,590.0,45675.0,1.1295500784971175,0.04203400475736953,6,1.0,0.2
11803,2423423,3.0,1,3130,1777.0,51110.0,6.5092893724670935,0.5208018125435213,19,1.0,0.3333333333333333
26417,2615363,1.0,1,9,0.0,55.0,0.0,0.0,0,1.0,1.0
103571,2200287,0.0,0,33,0.0,490.0,0.0,0.0,0,5.0,1.15
63000,2788384,4.0,1,39,0.0,660.0,0.0,0.0,0,1.0,0.25
1456,2194759,5.0,1,324,5912.0,6032.0,33.14813232064166,1.8137456860553591,75,1.0,0.2
104402,2604619,0.0,0,20,0.0,345.0,0.0,0.0,0,5.0,1.1833333333333331
1717090,2567208,0.0,0,21,0.0,416.0,0.0,0.0,0,7.0,1.4
188224,2367788,0.0,0,12,0.0,238.0,0.0,0.0,0,5.0,1.0
246965,2991811,5.0,1,54,0.0,759.0,0.0,0.0,0,1.0,0.2
458616,2603043,0.0,0,12,0.0,121.0,0.0,0.0,0,5.0,1.2666666666666666
2528,2227102,4.0,1,3895,75.0,77372.0,0.03976248787920819,0.002235090339287949,1,1.0,0.25
376,2157854,5.0,1,1501,80.0,31062.0,0.06311001222732938,0.0033136206981207636,1,1.0,0.2
9049,2373058,3.0,1,348,0.0,4940.0,0.0,0.0,0,1.0,0.3333333333333333
71250,2816275,4.0,1,64,0.0,637.0,0.0,0.0,0,1.0,0.25
250,2154277,4.0,1,160,36.0,2752.0,0.05323294987617568,0.005196646127540842,1,1.0,0.25
2811,2234835,4.0,1,180,360.0,2730.0,4.0076047796975764,0.18481241718081087,4,1.0,0.25
197843,2168787,0.0,0,9,0.0,195.0,0.0,0.0,0,7.0,1.5833333333333333
19028,2532279,3.0,1,924,1127.0,15690.0,3.607508045987382,0.2268318122320061,17,1.0,0.3333333333333333
236305,2983964,4.0,1,12,0.0,210.0,0.0,0.0,0,1.0,0.25
170944,2938575,5.0,1,36,0.0,756.0,0.0,0.0,0,1.0,0.2
100656,2906419,0.0,0,48,0.0,980.0,0.0,0.0,0,7.0,1.45
104569,2259934,0.0,0,21,0.0,420.0,0.0,0.0,0,5.0,1.05
24663,2605068,2.0,1,75,0.0,376.0,0.0,0.0,0,1.0,0.5
113458,2814611,0.0,0,44,0.0,1040.0,0.0,0.0,0,5.0,1.1833333333333331
125270,2908344,5.0,1,305,0.0,6725.0,0.0,0.0,0,1.0,0.2
4179,2274357,5.0,1,885,822.0,12639.0,5.534535765454079,0.3390654422925516,13,1.0,0.2
212924,2496774,0.0,0,33,0.0,735.0,0.0,0.0,0,5.0,1.0
1594138,2485868,0.0,0,75,0.0,1491.0,0.0,0.0,0,5.0,1.0
45496,2261109,0.0,0,492,0.0,8700.0,0.0,0.0,0,5.0,1.4
7461,2340559,5.0,1,24,0.0,540.0,0.0,0.0,0,1.0,0.2
375,2157845,4.0,1,60,0.0,924.0,0.0,0.0,0,1.0,0.25
8734,2367318,4.0,1,90,0.0,1586.0,0.0,0.0,0,1.0,0.25
6964,2330727,4.0,1,84,0.0,1632.0,0.0,0.0,0,1.0,0.25
3432,2250931,5.0,1,96,0.0,2175.0,0.0,0.0,0,1.0,0.2
1449602,2370405,0.0,0,16,0.0,169.0,0.0,0.0,0,7.0,1.5333333333333332
7582,2342670,4.0,1,1040,139.0,16728.0,0.5040515532484966,0.03033161606778828,2,1.0,0.25
903482,2288351,0.0,0,625,0.0,12765.0,0.0,0.0,0,5.0,1.0
2056,2211864,2.0,1,105,225.0,938.0,0.45290640039246066,0.017323598881032663,2,1.0,0.5
8535,2941803,0.0,0,153,0.0,2610.0,0.0,0.0,0,5.0,1.0
16076,2491104,5.0,1,288,0.0,3976.0,0.0,0.0,0,1.0,0.2
26616,2616638,5.0,1,75,0.0,1449.0,0.0,0.0,0,1.0,0.2
7916,2350642,5.0,1,4629,125.0,112650.0,2.6411070460266144,0.1,1,1.0,0.2
1502,2196327,5.0,1,54,0.0,984.0,0.0,0.0,0,1.0,0.2
6160,2314083,5.0,1,447,375.0,10995.0,2.1911454537149777,0.08160999828647589,3,1.0,0.2
13008,2444944,4.0,1,7140,678.0,110604.0,3.3398473829172475,0.3122058112581343,14,1.0,0.25
7006,2331326,5.0,1,55,0.0,1104.0,0.0,0.0,0,1.0,0.2
2139942,2243251,0.0,0,20,0.0,420.0,0.0,0.0,0,5.0,1.05
1310471,2440221,0.0,0,36,0.0,396.0,0.0,0.0,0,5.0,1.1333333333333333
56060,2783004,0.0,0,18,0.0,392.0,0.0,0.0,0,7.0,1.4
1018,2180762,4.0,1,1064,458.0,15051.0,0.5888194500703837,0.05259957318497686,9,1.0,0.25
2016635,2273559,0.0,0,12,0.0,240.0,0.0,0.0,0,7.0,1.8499999999999999
50939,2628195,0.0,0,30,0.0,667.0,0.0,0.0,0,7.0,1.4
1705180,2772929,0.0,0,15,0.0,216.0,0.0,0.0,0,7.0,1.4
474,2182724,0.0,0,12496,1118.0,170170.0,2.113319538148209,0.14675091307348834,18,3.0,0.6000000000000001
32610,2176501,0.0,0,985,0.0,22750.0,0.0,0.0,0,5.0,1.05
21561,2569781,3.0,1,96,0.0,1261.0,0.0,0.0,0,1.0,0.3333333333333333
330,2156418,4.0,1,138,100.0,2088.0,0.33830435471303927,0.023126602411121404,2,1.0,0.25
172558,2159331,0.0,0,896,140.0,16250.0,0.09815487439631052,0.005870307753742243,2,3.0,0.7
1019109,2282602,0.0,0,174,124.0,3625.0,0.3770612842421779,0.024751704801055506,2,3.0,0.65
5668,2304768,4.0,1,867,750.0,18426.0,11.540272554059461,0.42287177810301557,6,1.0,0.25
1747,2202691,5.0,1,3108,60.0,62832.0,0.05647649805765554,0.003697470427449363,1,1.0,0.2
90012,2865493,5.0,1,205,125.0,4875.0,6.681531047810609,0.2672612419124244,1,1.0,0.2
3791,2261524,5.0,1,75,0.0,1635.0,0.0,0.0,0,1.0,0.2
111556,2177270,0.0,0,234,0.0,3297.0,0.0,0.0,0,5.0,1.1333333333333333
32452,2653166,4.0,1,309,308.0,5436.0,0.8667699737090306,0.05021221985488525,4,1.0,0.25
156486,2362116,0.0,0,45,0.0,923.0,0.0,0.0,0,5.0,1.0
140080,2851762,0.0,0,15,0.0,260.0,0.0,0.0,0,7.0,1.45
11220,2415253,5.0,1,6363,2710.0,136290.0,4.411473416570621,0.24716755969840412,37,1.0,0.2
2556,2227793,5.0,1,1456,225.0,32690.0,0.8497826904567023,0.032613989824297515,2,1.0,0.2
59013,2419846,0.0,0,40,0.0,720.0,0.0,0.0,0,5.0,1.0
362188,3103768,0.0,0,9,0.0,120.0,0.0,0.0,0,inf,inf
2185,2215095,5.0,1,171,0.0,3780.0,0.0,0.0,0,1.0,0.2
41825,2271889,0.0,0,342,0.0,6966.0,0.0,0.0,0,5.0,1.0
389447,2453044,0.0,0,50,0.0,1056.0,0.0,0.0,0,5.0,1.05
76712,3055818,0.0,0,9,0.0,196.0,0.0,0.0,0,7.0,1.45
1649972,2372108,0.0,0,36,0.0,900.0,0.0,0.0,0,5.0,1.05
119723,2903881,4.0,1,9,0.0,140.0,0.0,0.0,0,1.0,0.25
8052,2827823,0.0,0,54,0.0,996.0,0.0,0.0,0,7.0,1.4
19986,2543664,5.0,1,684,0.0,15960.0,0.0,0.0,0,1.0,0.2
8758,2367634,4.0,1,3436,40584.0,50400.0,36.864980397186635,2.175603695187479,515,1.0,0.25
389,2158513,4.0,1,280,3220.0,5019.0,3.5586707116290723,0.1763461865400139,37,1.0,0.25
14515,2468451,4.0,1,372,172.0,6721.0,8.578845169343143,0.5850249857605,3,1.0,0.25
626,2167569,5.0,1,6216,125.0,109926.0,1.570371586342519,0.05679618342470648,1,1.0,0.2
216810,2468165,0.0,0,42,0.0,900.0,0.0,0.0,0,7.0,1.4
174042,2554642,0.0,0,18,0.0,286.0,0.0,0.0,0,7.0,1.4999999999999998
80616,2943399,0.0,0,15,0.0,180.0,0.0,0.0,0,7.0,1.45
610966,2203149,0.0,0,18,0.0,275.0,0.0,0.0,0,5.0,1.4
79987,2839262,4.0,1,60,0.0,726.0,0.0,0.0,0,1.0,0.25
63181,2271356,0.0,0,567,0.0,10332.0,0.0,0.0,0,5.0,1.0
2991,2239194,5.0,1,144,0.0,3078.0,0.0,0.0,0,1.0,0.2
7795,2424196,0.0,0,354,0.0,6624.0,0.0,0.0,0,5.0,1.0
1126,2183628,5.0,1,66,0.0,1300.0,0.0,0.0,0,1.0,0.2
3444,2251290,2.0,1,36,0.0,450.0,0.0,0.0,0,1.0,0.5
5202,2217978,0.0,0,40,0.0,450.0,0.0,0.0,0,5.0,1.5
10662,2399891,5.0,1,70056,22461.0,1227328.0,102.06721071478226,6.466744713980659,375,1.0,0.2
18665,2278700,0.0,0,192,0.0,3942.0,0.0,0.0,0,5.0,1.0
102336,2589483,0.0,0,24,0.0,456.0,0.0,0.0,0,5.0,1.3499999999999999
221130,2221610,0.0,0,9,0.0,210.0,0.0,0.0,0,7.0,1.5333333333333332
92680,2507016,0.0,0,15,0.0,209.0,0.0,0.0,0,7.0,1.4999999999999998
2080020,2243907,0.0,0,9,0.0,195.0,0.0,0.0,0,5.0,1.05
691,2169650,4.0,1,87,0.0,1391.0,0.0,0.0,0,1.0,0.25
26817,2601038,0.0,0,33,0.0,742.0,0.0,0.0,0,7.0,1.4
198470,2511851,0.0,0,15,0.0,336.0,0.0,0.0,0,5.0,1.05
20898,2557426,4.0,1,41230,3880.0,848584.0,21.22193235529788,1.3992768205449895,68,1.0,0.25
118506,2915985,0.0,0,12,0.0,260.0,0.0,0.0,0,inf,inf
1405,2192847,5.0,1,76,0.0,1691.0,0.0,0.0,0,1.0,0.2
766,2171906,5.0,1,1014,0.0,21249.0,0.0,0.0,0,1.0,0.2
2382,2223887,1.0,1,3159,4085.0,45408.0,4.672035464914584,0.2730634345345501,43,1.0,0.6000000000000001
43940,2358488,0.0,0,21,0.0,372.0,0.0,0.0,0,5.0,1.0
392978,2806513,0.0,0,12,0.0,126.0,0.0,0.0,0,5.0,1.2666666666666666
2898,2237046,5.0,1,2379,488.0,45526.0,1.3821307887653242,0.08681426265747551,6,1.0,0.2
1853,2205904,5.0,1,595,0.0,14700.0,0.0,0.0,0,1.0,0.2
522,2162981,3.0,1,4116,3526.0,66272.0,17.25948612870391,1.1918221833156593,59,1.0,0.3333333333333333
472560,3105431,0.0,0,12,0.0,220.0,0.0,0.0,0,9.0,1.9333333333333331
58626,2558728,0.0,0,42,0.0,775.0,0.0,0.0,0,7.0,1.4
103130,2891525,5.0,1,48,0.0,924.0,0.0,0.0,0,1.0,0.2
1283413,2467224,0.0,0,12,0.0,180.0,0.0,0.0,0,5.0,1.0
6093,2311965,5.0,1,15934,3015.0,357560.0,30.250498970745014,1.2070325083697064,27,1.0,0.2
1238,2189185,5.0,1,348,100.0,7040.0,1.4847846772912465,0.06622661785325219,1,1.0,0.2
2807,2234673,5.0,1,6798,63454.0,143000.0,140.2215631417563,5.864227186336051,577,1.0,0.2
106,2149905,4.0,1,14596,4269.0,225975.0,9.283982475555755,0.5428517934369621,62,1.0,0.25
2027334,2163641,0.0,0,15,0.0,238.0,0.0,0.0,0,7.0,1.4
1514214,2378997,0.0,0,42,0.0,540.0,0.0,0.0,0,5.0,1.05
2353,2222034,2.0,1,82896,4282.0,1205950.0,18.091369648526182,2.2039612735695435,91,1.0,0.5
1118700,2774906,0.0,0,18,0.0,210.0,0.0,0.0,0,5.0,1.1
173806,2822493,0.0,0,15,0.0,143.0,0.0,0.0,0,5.0,1.05
42532,2475323,0.0,0,125,0.0,2599.0,0.0,0.0,0,5.0,1.0
4458,2280969,5.0,1,648,905.0,13420.0,4.769189420118322,0.18154826059031584,8,1.0,0.2
1645613,2170230,0.0,0,84,0.0,1566.0,0.0,0.0,0,5.0,1.0
7594,2215195,0.0,0,66,0.0,1250.0,0.0,0.0,0,5.0,1.0
24419,2602789,5.0,1,462,0.0,9035.0,0.0,0.0,0,1.0,0.2
23367,2833895,0.0,0,54,0.0,858.0,0.0,0.0,0,5.0,1.4
20975,2561762,5.0,1,690,0.0,16066.0,0.0,0.0,0,1.0,0.2
56168,2149688,0.0,0,27,0.0,494.0,0.0,0.0,0,7.0,1.4
1647443,2488248,0.0,0,15,0.0,266.0,0.0,0.0,0,5.0,1.0
1887,2206810,1.0,1,264,278.0,4235.0,1.5270683423457565,0.07729263274870676,4,1.0,0.6000000000000001
19871,3308028,0.0,0,51,0.0,682.0,0.0,0.0,0,5.0,1.6999999999999997
19019,3009909,0.0,0,930,0.0,10758.0,0.0,0.0,0,inf,inf
149,2150891,5.0,1,322,0.0,6699.0,0.0,0.0,0,1.0,0.2
1732,2202422,5.0,1,3500,4778.0,64612.0,2.959917417204083,0.14290177558667036,49,1.0,0.2
81926,2151846,0.0,0,112,0.0,1488.0,0.0,0.0,0,5.0,1.0
255984,2155149,0.0,0,410,0.0,5180.0,0.0,0.0,0,5.0,1.0
102718,2261766,0.0,0,15,0.0,325.0,0.0,0.0,0,5.0,1.1333333333333333
106,2149914,4.0,1,10502,16562.0,172265.0,32.93796653002921,2.2540634122079832,250,1.0,0.25
86212,2856424,5.0,1,40,0.0,672.0,0.0,0.0,0,1.0,0.2
2716,2576386,0.0,0,452,0.0,10840.0,0.0,0.0,0,5.0,1.0
2018491,2966705,0.0,0,12,0.0,240.0,0.0,0.0,0,5.0,1.0
29787,2638003,5.0,1,24,0.0,510.0,0.0,0.0,0,1.0,0.2
375141,2662442,0.0,0,33,0.0,364.0,0.0,0.0,0,5.0,1.35
11707,2424492,0.0,0,60,0.0,1127.0,0.0,0.0,0,5.0,1.0
